Step Number,Energy per particle,Pressure
0, 10.46826813939873, 0.39614097777277407
10000, -0.05827349166468352, 0.008051210968487143
20000, -0.06885178927831216, 0.007502842721850516
30000, -0.06982002075263898, 0.007716179334575203
40000, -0.07160661849990303, 0.0076565004156325086
50000, -0.0655190524564218, 0.0075440609773525956
60000, -0.06049299297823878, 0.00784780042359402
70000, -0.06376968388482224, 0.007611213634835409
80000, -0.0776530037399584, 0.007898262312695851
90000, -0.08032573804451036, 0.007818005954394225
